accepted_name,lat,lng,class_name
pachycephalosaurus wyomingensis,45.096218,-102.090607,Pachycephalosaurus
velociraptorinae,45.616669,22.783331,Velociraptor
eudimorphodon,49.567909,6.218458,Dimorphodon
eudimorphodon,48.615555,6.332844,Dimorphodon
dilophosaurus wetherilli,35.679169,-111.027779,Dilophosaurus
brachiosaurus,42.017776,-106.048615,Brachiosaurus
spinosaurus aegyptiacus,-2.4781,-44.461399,Spinosaurus
tyrannosaurus,47.398056,-109.651108,Tyrannosaurus_Rex
tyrannosaurus rex,45.530899,-101.626297,Tyrannosaurus_Rex
stegosaurus,45.22361,-108.826668,Stegosaurus
micropachycephalosaurus hongtuyanensis,36.881653,120.679169,Pachycephalosaurus
brachiosaurus,39.146,-108.769997,Brachiosaurus
stegosaurus,39.146,-108.769997,Stegosaurus
velociraptor mongoliensis,40.040001,112.420006,Velociraptor
brachiosaurus,-9.708957,39.228508,Brachiosaurus
pachycephalosaurus,43.384399,-104.471497,Pachycephalosaurus
velociraptorinae,46.574272,63.866699,Velociraptor
stegosaurus ungulatus,39.662338,-8.812128,Stegosaurus
triceratops,39.985279,-104.82,Triceratops
tyrannosaurus rex,45.062778,-103.451668,Tyrannosaurus_Rex
triceratops,45.062778,-103.451668,Triceratops
tyrannosaurus rex,47.799999,-106.099998,Tyrannosaurus_Rex
tyrannosaurus rex,47.799999,-106.099998,Tyrannosaurus_Rex
triceratops prorsus,47.799999,-106.099998,Triceratops
pachycephalosaurus wyomingensis,41.799999,-107.0,Pachycephalosaurus
ankylosaurus magniventris,41.799999,-107.0,Ankylosaurus
tyrannosaurus rex,41.934753,-106.890236,Tyrannosaurus_Rex
ankylosaurus magniventris,41.94062,-106.891731,Ankylosaurus
tyrannosaurus rex,41.799999,-107.0,Tyrannosaurus_Rex
ankylosaurus magniventris,41.935242,-106.881096,Ankylosaurus
ankylosaurus magniventris,41.939877,-106.876312,Ankylosaurus
tyrannosaurus rex,41.939877,-106.876312,Tyrannosaurus_Rex
ankylosaurus magniventris,41.939758,-106.89241,Ankylosaurus
tyrannosaurus rex,41.935326,-106.88224,Tyrannosaurus_Rex
stegosaurus,42.196388,-105.85611,Stegosaurus
eotriceratops xerinsularis,51.953251,-112.935257,Triceratops
dilophosaurus,19.25,79.533333,Dilophosaurus
velociraptorichnus sichuanensis,35.21093,118.718231,Velociraptor
stegosaurus,39.068333,-110.991669,Stegosaurus
parasaurolophus,50.733292,-111.511574,Parasaurolophus
procompsognathus triassicus,49.0644,8.9764,Compsognathus
triceratops,47.583611,-106.924721,Triceratops
triceratops,47.653889,-106.276939,Triceratops
eudimorphodon,46.389442,12.624167,Dimorphodon
eudimorphodon rosenfeldi,46.391388,12.930833,Dimorphodon
eudimorphodon,46.384724,12.863889,Dimorphodon
eudimorphodon,46.391388,12.930833,Dimorphodon
velociraptor osmolskae,41.788055,106.723892,Velociraptor
velociraptor mongoliensis,44.228333,103.30278,Velociraptor
dimorphodon macronyx,50.726112,-2.938889,Dimorphodon
pachycephalosaurus,45.765656,-104.831749,Pachycephalosaurus
pachycephalosaurus,45.787891,-104.773071,Pachycephalosaurus
triceratops,45.730145,-104.891388,Triceratops
tyrannosaurus,45.730145,-104.891388,Tyrannosaurus_Rex
pachycephalosaurus wyomingensis,45.103661,-104.917351,Pachycephalosaurus
dimorphodon macronyx,51.601944,-2.629722,Dimorphodon
eudimorphodon ranzii,45.797222,9.558333,Dimorphodon
eudimorphodon ranzii,45.783001,9.817,Dimorphodon
eudimorphodon ranzii,45.682999,9.717,Dimorphodon
eudimorphodon,48.640278,6.305556,Dimorphodon
velociraptorinae,39.950359,-2.021356,Velociraptor
velociraptorinae,32.700558,-3.2175,Velociraptor
velociraptorinae,32.700558,-3.2175,Velociraptor
velociraptorinae,40.637775,-0.857218,Velociraptor
velociraptorinae,51.859444,0.4425,Velociraptor
brachiosaurus,40.405556,-109.223335,Brachiosaurus
velociraptorinae,38.731945,-109.592781,Velociraptor
spinosaurus,25.617779,29.290556,Spinosaurus
spinosaurus,25.493055,29.519444,Spinosaurus
triceratops horridus,45.383331,-105.300003,Triceratops
triceratops horridus,47.546665,-107.115555,Triceratops
velociraptorinae,38.8293,-109.470901,Velociraptor
triceratops,47.62389,-106.186111,Triceratops
triceratops,47.799999,-106.099998,Triceratops
triceratops,47.555279,-106.194725,Triceratops
velociraptorinae,45.580002,22.93,Velociraptor
brachiosaurus,-9.70583,39.223057,Brachiosaurus
triceratops,49.299999,-108.400002,Triceratops
triceratops,45.833332,-103.900002,Triceratops
spinosaurus,31.57,-4.2,Spinosaurus
brachiosaurus,44.051388,-107.458336,Brachiosaurus
gallimimus,43.495663,101.050934,Gallimimus
velociraptor,44.145279,103.72139,Velociraptor
gallimimus,43.598057,100.503891,Gallimimus
gallimimus,43.600834,100.5,Gallimimus
gallimimus,43.474724,99.833054,Gallimimus
velociraptorinae,40.950001,-0.766667,Velociraptor
spinosaurus,4.273056,35.814999,Spinosaurus
dilophosaurus,36.066666,-111.26667,Dilophosaurus
triceratops,46.413055,-103.50222,Triceratops
tyrannosaurus rex,46.413055,-103.50222,Tyrannosaurus_Rex
triceratops,46.413055,-103.50222,Triceratops
tyrannosaurus rex,46.413055,-103.50222,Tyrannosaurus_Rex
stegosaurus,38.25222,-110.813889,Stegosaurus
brachiosaurus,38.25222,-110.813889,Brachiosaurus
parasaurolophus tubicen,36.343899,-108.209099,Parasaurolophus
tyrannosaurus rex,43.422287,-104.494812,Tyrannosaurus_Rex
stegosaurus ungulatus,40.441387,-109.300552,Stegosaurus
corythosaurus casuarius,48.462479,-112.066208,Corythosaurus
triceratops,45.482071,-104.192398,Triceratops
triceratops,43.422287,-104.494812,Triceratops
triceratops horridus,47.546665,-107.115555,Triceratops
tyrannosaurus,45.349419,-105.240425,Tyrannosaurus_Rex
velociraptorinae,45.549999,22.916668,Velociraptor
triceratops,45.393398,-103.6996,Triceratops
triceratops,45.407902,-103.7201,Triceratops
triceratops,45.516338,-103.504295,Triceratops
triceratops horridus,43.15778,-104.553055,Triceratops
triceratops,43.0,-104.5,Triceratops
corythosaurus casuarius,50.836811,-111.180084,Corythosaurus
tyrannosaurus rex,44.935799,-108.853798,Tyrannosaurus_Rex
triceratops prorsus,49.050701,-106.574402,Triceratops
triceratops prorsus,49.505001,-108.766602,Triceratops
triceratops prorsus,49.3414,-108.3321,Triceratops
triceratops prorsus,49.3414,-108.3321,Triceratops
stegosaurus,42.035831,-106.390556,Stegosaurus
sinankylosaurus zhuchengensis,37.465832,120.984718,Ankylosaurus
stegosaurus,38.450001,-107.400002,Stegosaurus
stegosaurus,38.450001,-107.400002,Stegosaurus
tyrannosaurus rex,31.0,-109.0,Tyrannosaurus_Rex
tyrannosaurus rex,47.732971,-106.255913,Tyrannosaurus_Rex
tyrannosaurus rex,49.607498,-114.106903,Tyrannosaurus_Rex
tyrannosaurus rex,45.053665,-101.96788,Tyrannosaurus_Rex
tyrannosaurus,42.821259,89.85601,Tyrannosaurus_Rex
pachycephalosaurus wyomingensis,45.769901,-104.932098,Pachycephalosaurus
stegosaurus,42.152802,-105.908501,Stegosaurus
triceratops,47.599998,-107.0,Triceratops
tyrannosaurus,47.599998,-107.0,Tyrannosaurus_Rex
stegosaurus,39.32399,-110.687622,Stegosaurus
triceratops horridus,52.081001,-112.981499,Triceratops
spinosaurus aegyptiacus,31.531668,-4.665556,Spinosaurus
spinosaurus,31.51,-4.08,Spinosaurus
spinosaurus aegyptiacus,30.881699,-3.861468,Spinosaurus
spinosaurus aegyptiacus,31.610001,-4.3,Spinosaurus
spinosaurus,33.123798,10.2659,Spinosaurus
spinosaurus aegyptiacus,31.58778,-4.17669,Spinosaurus
velociraptor,44.094166,102.909164,Velociraptor
gallimimus,43.7575,99.900558,Gallimimus
velociraptor mongoliensis,44.0,104.0,Velociraptor
triceratops,41.907799,-104.1978,Triceratops
triceratops,41.907799,-104.1978,Triceratops
triceratops,41.7346,-104.371201,Triceratops
triceratops horridus,41.748199,-110.626099,Triceratops
triceratops,41.834999,-106.62278,Triceratops
triceratops,41.834999,-106.62278,Triceratops
tyrannosaurus,44.128414,-110.397865,Tyrannosaurus_Rex
spinosaurus,33.190479,10.289189,Spinosaurus
triceratops,47.656944,-107.33667,Triceratops
gallimimus,43.482777,100.359718,Gallimimus
pachycephalosaurus,51.953251,-112.935257,Pachycephalosaurus
gallimimus,43.852501,100.140282,Gallimimus
gallimimus,43.852501,100.140282,Gallimimus
gallimimus,43.501667,101.050003,Gallimimus
velociraptor,44.232777,103.288887,Velociraptor
velociraptor,43.663334,107.843613,Velociraptor
velociraptorinae,42.159168,1.772222,Velociraptor
parasaurolophus,36.343887,-108.084167,Parasaurolophus
parasaurolophus tubicen,36.343613,-108.084167,Parasaurolophus
parasaurolophus,36.343613,-108.084167,Parasaurolophus
triceratops prorsus,47.6087,-106.954697,Triceratops
triceratops horridus,47.536201,-107.018898,Triceratops
stegosaurus,38.853611,-108.477219,Stegosaurus
stegosaurus,44.0933,-106.866402,Stegosaurus
stegosaurus,40.455929,-108.391647,Stegosaurus
velociraptor,43.299999,99.599998,Velociraptor
triceratops,45.482071,-104.192398,Triceratops
triceratops horridus,45.393398,-103.966599,Triceratops
triceratops,45.461102,-103.8424,Triceratops
triceratops,47.790001,-104.559998,Triceratops
gallimimus bullatus,43.502499,101.047775,Gallimimus
gallimimus bullatus,43.503056,101.04583,Gallimimus
gallimimus bullatus,43.519463,101.029846,Gallimimus
gallimimus bullatus,43.515556,101.045555,Gallimimus
gallimimus bullatus,43.499443,101.051109,Gallimimus
gallimimus bullatus,43.513058,101.04583,Gallimimus
gallimimus bullatus,43.538055,101.036392,Gallimimus
gallimimus bullatus,43.539722,101.037781,Gallimimus
gallimimus bullatus,43.481945,100.360558,Gallimimus
gallimimus bullatus,43.44128,100.374809,Gallimimus
gallimimus bullatus,43.597221,100.457222,Gallimimus
pachycephalosaurus wyomingensis,47.053055,-107.350281,Pachycephalosaurus
brachiosaurus,52.292778,8.709167,Brachiosaurus
triceratops,40.759754,-104.158203,Triceratops
velociraptorichnus,50.513058,23.063057,Velociraptor
tyrannosaurus rex,45.66,-105.080002,Tyrannosaurus_Rex
triceratops,45.66,-105.080002,Triceratops
triceratops,45.678333,-105.078613,Triceratops
pachycephalosaurus,45.678333,-105.078613,Pachycephalosaurus
stegosaurus,39.14613,-108.767174,Stegosaurus
tyrannosaurus rex,47.536201,-107.083,Tyrannosaurus_Rex
stegosaurus,34.9911,-104.169296,Stegosaurus
triceratops,45.889168,-104.549721,Triceratops
tyrannosaurus,45.889168,-104.549721,Tyrannosaurus_Rex
triceratops prorsus,43.34,-104.529999,Triceratops
triceratops prorsus,47.767094,-106.294937,Triceratops
triceratops,43.327,-104.3517,Triceratops
triceratops,46.566898,-103.700798,Triceratops
tyrannosaurus,36.324722,-108.016945,Tyrannosaurus_Rex
stegosaurus,39.150227,-108.771576,Stegosaurus
tyrannosaurus,45.5,-103.099998,Tyrannosaurus_Rex
triceratops,45.5,-103.099998,Triceratops
tyrannosaurus,45.644169,-103.488052,Tyrannosaurus_Rex
triceratops,45.644169,-103.488052,Triceratops
compsognathus longipes,45.77972,5.548611,Compsognathus
spinosaurus aegyptiacus,29.66667,1.916667,Spinosaurus
velociraptorichnus,40.671391,116.313332,Velociraptor
velociraptorinae,51.900002,10.4833,Velociraptor
spinosaurus aegyptiacus,31.616667,-4.266667,Spinosaurus
spinosaurus,30.897499,-3.870278,Spinosaurus
spinosaurus aegyptiacus,28.166668,7.066667,Spinosaurus
spinosaurus aegyptiacus,33.172859,10.255789,Spinosaurus
spinosaurus aegyptiacus,30.505667,-4.836939,Spinosaurus
spinosaurus,17.933332,5.616667,Spinosaurus
ankylosaurus magniventris,49.900002,-107.900002,Ankylosaurus
dilophosaurus wetherilli,35.736668,-111.073608,Dilophosaurus
dilophosaurus wetherilli,35.75,-111.083298,Dilophosaurus
dilophosaurus wetherilli,35.75,-111.083298,Dilophosaurus
dilophosaurus wetherilli,36.998402,-110.701401,Dilophosaurus
dilophosaurus wetherilli,38.699402,-109.5466,Dilophosaurus
triceratops,44.942001,-101.646004,Triceratops
dilophosaurus wetherilli,35.733299,-111.066704,Dilophosaurus
dilophosaurus,36.998402,-110.701401,Dilophosaurus
dilophosaurus wetherilli,35.736668,-111.073608,Dilophosaurus
triceratops horridus,47.056198,-104.593201,Triceratops
parasaurolophus cyrtocristatus,36.276112,-108.152779,Parasaurolophus
velociraptorinae,45.6675,22.583055,Velociraptor
velociraptorichnus,28.163334,102.517502,Velociraptor
velociraptorichnus,28.21611,105.641945,Velociraptor
velociraptorichnus zhangi,28.291945,102.650558,Velociraptor
velociraptorichnus,40.916111,118.164169,Velociraptor
stegosaurus,39.005001,-111.024002,Stegosaurus
triceratops,47.608601,-106.9552,Triceratops
triceratops,47.526402,-107.0215,Triceratops
triceratops,47.544102,-107.053101,Triceratops
velociraptorinae,50.27,127.47583,Velociraptor
stegosaurus,39.169998,-9.2,Stegosaurus
velociraptorinae,45.5462,22.915501,Velociraptor
stegosaurus,42.152302,-105.916199,Stegosaurus
stegosaurus,42.152302,-105.916199,Stegosaurus
tyrannosaurus rex,45.651001,-103.624001,Tyrannosaurus_Rex
tyrannosaurus rex,47.886002,-106.306,Tyrannosaurus_Rex
gallimimus,43.816387,99.976669,Gallimimus
brachiosaurus,44.058601,-106.717598,Brachiosaurus
velociraptorinae,45.616669,22.783331,Velociraptor
tyrannosaurus rex,45.000481,-103.188957,Tyrannosaurus_Rex
tyrannosaurus rex,45.000481,-103.188957,Tyrannosaurus_Rex
triceratops,45.000481,-103.188957,Triceratops
pachycephalosaurus,45.000481,-103.188957,Pachycephalosaurus
pachycephalosaurus wyomingensis,45.000481,-103.188957,Pachycephalosaurus
ankylosaurus magniventris,45.000481,-103.188957,Ankylosaurus
triceratops horridus,45.002998,-103.144997,Triceratops
triceratops,45.007801,-103.161003,Triceratops
triceratops,45.007801,-103.161003,Triceratops
triceratops,45.007801,-103.161003,Triceratops
triceratops,45.002201,-103.192001,Triceratops
spinosaurus aegyptiacus,31.554899,-2.4257,Spinosaurus
spinosaurus aegyptiacus,32.0406,-2.5832,Spinosaurus
stegosaurus,35.095699,-107.230202,Stegosaurus
stegosaurus,38.450001,-107.400002,Stegosaurus
triceratops horridus,44.713001,-103.056,Triceratops
triceratops,43.666,-104.274002,Triceratops
triceratops,43.666,-104.274002,Triceratops
triceratops horridus,45.053055,-102.880836,Triceratops
triceratops,47.479,-104.484001,Triceratops
tyrannosaurus rex,47.479,-104.484001,Tyrannosaurus_Rex
triceratops,47.479,-104.484001,Triceratops
dimorphodon weintraubi,26.6,-99.51667,Dimorphodon
triceratops,50.211388,-107.374443,Triceratops
tyrannosaurus,50.211388,-107.374443,Tyrannosaurus_Rex
triceratops,46.294724,-103.923058,Triceratops
spinosaurus,33.184723,10.260556,Spinosaurus
triceratops,47.316666,-107.150002,Triceratops
spinosaurus,28.368999,9.381,Spinosaurus
stegosaurus,44.655998,-107.851501,Stegosaurus
triceratops,47.721001,-106.526001,Triceratops
triceratops,47.732971,-106.255913,Triceratops
triceratops,47.599998,-106.916664,Triceratops
parasaurolophus,50.743671,-111.509338,Parasaurolophus
triceratops,47.546665,-107.115555,Triceratops
triceratops prorsus,49.063332,-107.282219,Triceratops
triceratops prorsus,49.012199,-106.637703,Triceratops
triceratops prorsus,49.4958,-109.0504,Triceratops
spinosaurus,16.2826,10.5264,Spinosaurus
gallimimus,43.863335,99.972221,Gallimimus
velociraptorichnus,25.037779,116.399445,Velociraptor
spinosaurus aegyptiacus,30.897499,-3.870278,Spinosaurus
spinosaurus aegyptiacus,30.897499,-3.870278,Spinosaurus
spinosaurus aegyptiacus,31.616667,-4.266667,Spinosaurus
spinosaurus aegyptiacus,30.897499,-3.870278,Spinosaurus
tyrannosaurus rex,36.507999,-108.320999,Tyrannosaurus_Rex
corythosaurus,47.602222,-109.459442,Corythosaurus
corythosaurus,48.540833,-109.667221,Corythosaurus
spinosaurus,30.771389,-3.75,Spinosaurus
pachycephalosaurus,43.505402,-104.427002,Pachycephalosaurus
triceratops,43.505402,-104.427002,Triceratops
tyrannosaurus rex,43.505402,-104.427002,Tyrannosaurus_Rex
stegosaurus,41.908199,-105.946198,Stegosaurus
velociraptorinae,37.799999,-111.5,Velociraptor
velociraptorinae,37.400002,-111.199997,Velociraptor
velociraptorinae,37.602001,-111.966003,Velociraptor
spinosaurus aegyptiacus,31.616667,-4.266667,Spinosaurus
stegosaurus,36.931801,-102.978203,Stegosaurus
tyrannosaurus,46.279999,-100.535004,Tyrannosaurus_Rex
stegosaurus,40.300999,-108.569,Stegosaurus
stegosaurus,41.908199,-105.946198,Stegosaurus
stegosaurus,41.908001,-106.005402,Stegosaurus
stegosaurus,41.9077,-105.963402,Stegosaurus
stegosaurus,39.149761,-108.773399,Stegosaurus
brachiosaurus,39.139622,-109.022263,Brachiosaurus
stegosaurus,39.139622,-109.022263,Stegosaurus
stegosaurus stenops,39.139622,-109.022263,Stegosaurus
parasaurolophus,37.666668,-111.73333,Parasaurolophus
velociraptorinae,-21.601299,-51.174,Velociraptor
brachiosaurus,38.583099,-108.397202,Brachiosaurus
